"HumanDecision","AllowedDecisions","Directory","FileCount","ProposedAuthority","ExecutionStatus","Reason","ProposedActions","RiskLevels","TargetZones","ExampleFiles","HumanNotes"
"HOLD","HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\AI-OS-Project\Reports\daily","17","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","KEEP_REPORT_ARCHIVE","LOW","REPORTS_DAILY","AI_OS_CHECKPOINT_2026-05-04_CLEAN_REPO_RECOVERY.md | AI_OS_CHECKPOINT_2026-05-04_CODEX_GITHUB_ALIGNMENT.md | AI_OS_LOCAL_INVENTORY_2026-05-04.txt | AI_OS_REPO_ALIGNMENT_PLAN_2026-05-04.txt | CODEX_REPO_MISMATCH_2026-05-04.md",""
"HOLD","HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\AI-OS-Project\docs","7","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","REVIEW_FOR_CANONICAL_DOCS | DELETE_CANDIDATE_AFTER_BACKUP","MEDIUM | LOW","ACTIVE_PROJECT_ROOT | WINDOWS_METADATA","ai_OS_structure.csv | AI-OS_MASTER_GUIDELINES.md | AI-OS_PROJECT_PARAMETERS.csv | AlgoTradez_AI-OS_Roadmap.csv | desktop.ini",""
"HOLD","HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\AI-OS-Project\TradingEngineV1","6","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","KEEP_PRIVATE_DO_NOT_UPLOAD | KEEP_ACTIVE_TRADING_ENGINE","HIGH | MEDIUM","SECRETS_CONFIG | TRADING_ENGINE_V1",".env | .gitignore | app.py | requirements.txt | screener.py",""
"HOLD","HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\AI-OS-Project\_REVIEW\Desktop_Ai_Os_Stale","5","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","app.py | deploy.zip | download.jpg | project.manifest.json | staticwebapp.config.json",""
"HOLD","HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\AI-OS-Project\logo.icons","5","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","MOVE_CANDIDATE_BRANDING","LOW","BRANDING_ASSETS","aios_circle_512.png | aios_node_logo_v2.svg | aios_square_vs_circle.svg | files.zip | index.html",""
"HOLD","HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\AI-OS-Project\daily-progress\daily progress","5","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","REVIEW_FOR_CANONICAL_DOCS | DELETE_CANDIDATE_AFTER_BACKUP","MEDIUM | LOW","ACTIVE_PROJECT_ROOT | WINDOWS_METADATA","AAR_AI_OS_Consolidation_2026-05-02.md | AI-OS_EOD_PROGRESS_LOG.csv.xlsx | AI-OS_EOD_PROGRESS_LOG.xlsx | AlgoTradez_Progress_Apr28_2026.csv | desktop.ini",""
"HOLD","HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\AI-OS-Project\logo.icons\files","4","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","MOVE_CANDIDATE_BRANDING","LOW","BRANDING_ASSETS","aios_circle_512.png | aios_logo_512.png | apple-touch-icon.png | favicon.ico",""
"HOLD","HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop","4","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","MOVE_CANDIDATE_TO_AI_OS_PROJECT | KEEP_OR_RECREATE_SHORTCUT_LATER","MEDIUM | LOW","DESKTOP_LOOSE_AI_OS | DESKTOP_SHORTCUTS","ai-os Incident Report.txt | AI-OS_MORNING_EXECUTION_PACKET.md - Shortcut.lnk | AlgoTradez    AI-OS.lnk | Deploy AI-OS.lnk",""
"HOLD","HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\WEEK 1","4","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","REVIEW_FOR_CANONICAL_DOCS","MEDIUM","ACTIVE_PROJECT_ROOT","AlgoTradez_DailyProgress_2026-05-02.csv | AlgoTradez_DailyProgress_2026-05-02.xlsx | AlgoTradez_DailyReport_2026-05-01.csv | AlgoTradez_Session_Log_2026-04-30-1.xlsx",""
"HOLD","HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE","C:\Users\mylab\Downloads","3","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","MOVE_CANDIDATE_TO_INBOX","LOW","DOWNLOADS_AI_OS","AlgoTradez_AI-OS_Roadmap.csv | AlgoTradez_AI-OS_Roadmap_1.csv | whitepaper.pdf",""
