"HumanDecision","AllowedDecisions","SourceStage","ItemPath","ProposedAction","ExecutionStatus","Reason","HumanNotes"
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\docs","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\_REVIEW\Desktop_Ai_Os_Stale","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\WEEK 1","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\Ai_Os\bot","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\Ai_Os\docs\specs","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\Ai_Os Node\HTML","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\Yubikey","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\assets","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\Postmortem","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\Ai_Os\internal\source-artifacts\pdf","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
