"Decision","AllowedDecisions","Name","FullPath","ProposedAction","TargetZone","ProposedTargetPath","RiskLevel","Reason","HumanNotes"
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AlgoTradez_AI-OS_Roadmap.csv","C:\Users\mylab\Downloads\AlgoTradez_AI-OS_Roadmap.csv","MOVE_CANDIDATE_TO_INBOX","DOWNLOADS_AI_OS","C:\Users\mylab\OneDrive\AI-OS-Project\_INBOX\downloads_import_review","LOW","Downloaded AI_OS reference file. Place in inbox/review before canonizing.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AlgoTradez_AI-OS_Roadmap_1.csv","C:\Users\mylab\Downloads\AlgoTradez_AI-OS_Roadmap_1.csv","MOVE_CANDIDATE_TO_INBOX","DOWNLOADS_AI_OS","C:\Users\mylab\OneDrive\AI-OS-Project\_INBOX\downloads_import_review","LOW","Downloaded AI_OS reference file. Place in inbox/review before canonizing.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","whitepaper.pdf","C:\Users\mylab\Downloads\whitepaper.pdf","MOVE_CANDIDATE_TO_INBOX","DOWNLOADS_AI_OS","C:\Users\mylab\OneDrive\AI-OS-Project\_INBOX\downloads_import_review","LOW","Downloaded AI_OS reference file. Place in inbox/review before canonizing.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AGENTS.md","C:\Users\mylab\OneDrive\AI-OS-Project\AGENTS.md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","desktop.ini","C:\Users\mylab\OneDrive\AI-OS-Project\Ai_Os Node\HTML\desktop.ini","DELETE_CANDIDATE_AFTER_BACKUP","WINDOWS_METADATA","","LOW","Windows folder view metadata. Not project source-of-truth.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AIOS_Inventory_Only_v1.ps1","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_Inventory_Only_v1.ps1","KEEP","TOOLS_INVENTORY","C:\Users\mylab\OneDrive\AI-OS-Project\tools\powershell\AIOS_Inventory_Only_v1.ps1","LOW","Safe inventory-only script. Keep under tools/powershell after review.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AlgoTradez_IncidentReport_2026-05-01.csv","C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\Postmortem\AlgoTradez_IncidentReport_2026-05-01.csv","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","CONFUSION(APPS GONE)WORNG ORDER.txt","C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\Postmortem\CONFUSION(APPS GONE)WORNG ORDER.txt","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","SITREP_AI_OS_Consolidation_2026-05-02.md","C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\SITREP\SITREP_AI_OS_Consolidation_2026-05-02.md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AlgoTradez_DailyProgress_2026-05-02.csv","C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\WEEK 1\AlgoTradez_DailyProgress_2026-05-02.csv","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AlgoTradez_DailyProgress_2026-05-02.xlsx","C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\WEEK 1\AlgoTradez_DailyProgress_2026-05-02.xlsx","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
