"Directory","FileCount","ProposedAuthority","ExecutionStatus","Reason","ProposedActions","RiskLevels","TargetZones","ExampleFiles","HumanDecision","HumanNotes"
"C:\Users\mylab\OneDrive\AI-OS-Project\Reports\daily","17","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","KEEP_REPORT_ARCHIVE","LOW","REPORTS_DAILY","AI_OS_CHECKPOINT_2026-05-04_CLEAN_REPO_RECOVERY.md | AI_OS_CHECKPOINT_2026-05-04_CODEX_GITHUB_ALIGNMENT.md | AI_OS_LOCAL_INVENTORY_2026-05-04.txt | AI_OS_REPO_ALIGNMENT_PLAN_2026-05-04.txt | CODEX_REPO_MISMATCH_2026-05-04.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\system_wizards","10","ACTIVE_AI_OS_CONTROL_TREE","KEEP_NO_ACTION","Inside controlled docs\AI_OS tree.","KEEP_ACTIVE_CONTEXT_PACK","LOW","SYSTEM_WIZARDS","00_START_HERE_AI_OS_CONTEXT_PACK.md | 01_CURRENT_STATE.md | 02_CHECKPOINT.md | 03_ARCHITECTURE_LOCK.md | 04_AGENT_ROLES.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\docs\AI_OS\system_wizards","9","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","00_START_HERE_AI_OS_CONTEXT_PACK.md | 01_CURRENT_STATE.md | 02_CHECKPOINT.md | 03_ARCHITECTURE_LOCK.md | 04_AGENT_ROLES.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\docs\AI_OS\system_wizards","9","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","00_START_HERE_AI_OS_CONTEXT_PACK.md | 01_CURRENT_STATE.md | 02_CHECKPOINT.md | 03_ARCHITECTURE_LOCK.md | 04_AGENT_ROLES.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\apps\dashboard","7","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN",".gitignore | eslint.config.js | index.html | package.json | package-lock.json","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\docs","7","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","REVIEW_FOR_CANONICAL_DOCS | DELETE_CANDIDATE_AFTER_BACKUP","MEDIUM | LOW","ACTIVE_PROJECT_ROOT | WINDOWS_METADATA","ai_OS_structure.csv | AI-OS_MASTER_GUIDELINES.md | AI-OS_PROJECT_PARAMETERS.csv | AlgoTradez_AI-OS_Roadmap.csv | desktop.ini","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\apps\dashboard","7","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE",".gitignore | eslint.config.js | index.html | package.json | package-lock.json","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard","7","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","REVIEW_DUPLICATE_WORKING_COPY","MEDIUM","DESKTOP_WORKING_COPY",".gitignore | eslint.config.js | index.html | package.json | package-lock.json","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\TradingEngineV1","6","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","KEEP_PRIVATE_DO_NOT_UPLOAD | KEEP_ACTIVE_TRADING_ENGINE","HIGH | MEDIUM","SECRETS_CONFIG | TRADING_ENGINE_V1",".env | .gitignore | app.py | requirements.txt | screener.py","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\Yubikey","6","NO_TOUCH_ZONE","BLOCK_FROM_AUTOMATION","Folder path suggests sensitive/no-touch material.","KEEP_SECURITY_REFERENCE","MEDIUM","SECURITY_YUBIKEY","May 3, 2026 0546 1.txt | May 3, 2026 0546.txt | May 3, 2026 0547.txt | Yubico demo website.txt | Yubikey Documents.adoc","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1","6","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_PRIVATE_DO_NOT_UPLOAD | KEEP_READ_ONLY_ARCHIVE","HIGH | MEDIUM","SECRETS_CONFIG | BACKUP_ARCHIVE",".env | .gitignore | app.py | requirements.txt | screener.py","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\docs","5","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_READ_ONLY_ARCHIVE | DELETE_CANDIDATE_AFTER_BACKUP","MEDIUM | LOW","BACKUP_ARCHIVE | WINDOWS_METADATA","ai_OS_structure.csv | AI-OS_MASTER_GUIDELINES.md | AlgoTradez_AI-OS_Roadmap.csv | desktop.ini | White_Paper.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210","5","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE | DELETE_CANDIDATE_AFTER_BACKUP","MEDIUM | LOW","BACKUP_ARCHIVE | WINDOWS_METADATA",".gitignore | AGENTS.md | desktop.ini | project.manifest.json | README.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project","5","ACTIVE_PROJECT_ROOT","KEEP_NO_ACTION","Main AI_OS OneDrive project root.","REVIEW_FOR_CANONICAL_DOCS | KEEP | DELETE_CANDIDATE_AFTER_BACKUP | KEEP_ACTIVE_PROJECT_FILE","MEDIUM | LOW","ACTIVE_PROJECT_ROOT | TOOLS_INVENTORY | WINDOWS_METADATA","AGENTS.md | AIOS_Inventory_Only_v1.ps1 | CODEX_TASK.txt | desktop.ini | files.zip","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\_REVIEW\Desktop_Ai_Os_Stale","5","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","app.py | deploy.zip | download.jpg | project.manifest.json | staticwebapp.config.json","PENDING_REVIEW",""
